Time (s),Cases
0.491853513,R90
0.766434801,R90
0.708444483,R90
0.702623582,R90
0.959774556,R90
0.830967841,R90
0.687002902,R90
0.780084839,R90
0.563861517,R90
0.712869267,R90
0.920747799,R90
0.819972437,R90
0.971531501,R90
0.794158559,R90
0.713370262,R90
0.850050326,R90
0.654658833,R90
0.777844667,R90
0.498230734,R90
0.677336233,R90
0.910859833,R90
0.714531368,R90
0.779644607,R90
0.671766893,R90
0.688540878,R90
0.913420367,R90
0.714324256,R90
0.451300602,R90
0.451672269,R90
0.691479227,R90
0.574248351,R90
0.641853795,R90
0.834405057,R90
0.677487075,R90
0.462898192,R90
0.509607026,R90
0.720203792,R90
0.750368924,R90
0.800935582,R90
0.756202829,R90
0.846196993,R90
0.565500921,R90
0.665386598,R90
0.536774465,R90
0.980516069,R90
0.891965782,R90
0.61587418,R90
0.809214881,R90
0.64258058,R90
0.888120251,R90
0.739697665,R90
0.969375734,R90
0.888833324,R90
0.72742885,R90
0.563439253,R90
0.780206127,R90
0.849085456,R90
0.486318928,R90
0.763909022,R90
0.89397378,R90
0.655372851,R90
0.601758849,R90
0.865402422,R90
0.707061133,R90
0.881207281,R90
0.587842827,R90
0.775835723,R90
0.713604327,R90
0.82827656,R90
0.903159551,R90
0.974494439,R90
0.996324002,R90
0.73215319,R90
0.452187923,R90
0.727571654,R90
0.583653291,R90
0.558504727,R90
0.773672863,R90
0.942077313,R90
0.684221305,R90
0.803328488,R90
0.650198585,R90
0.874613726,R90
0.472242371,R90
0.772717687,R90
0.677604817,R90
0.684164798,R90
0.650112052,R90
0.66859566,R90
0.425566164,R90
0.630125459,R90
0.692063209,R90
0.444858836,R90
0.909249509,R90
0.58922736,R90
0.634316177,R90
0.545214535,R90
0.7526883,R90
0.646911974,R90
0.571393461,R90
0.703874768,R90
0.855163357,R90
0.790823717,R90
0.823357875,R90
0.506215677,R90
0.901505724,R90
0.76820968,R90
0.397597229,R90
0.548765711,R90
0.546825095,R90
0.682959006,R90
0.806666168,R90
0.704606755,R90
0.546863633,R90
0.886467134,R90
0.501985239,R90
0.90464102,R90
0.822210481,R90
0.646556147,R90
0.458830418,R90
0.592398829,R90
0.595216836,R90
0.61853567,R90
0.733326118,R90
0.641156564,R90
0.667583268,R90
0.489801775,R90
0.713200505,R90
0.557102698,R90
0.401820811,R90
0.779804197,R90
0.76490179,R90
